bank,variant,acc,chance,n_win,n_rec,secs,folds
HYD-cooler,integ,0.4889,0.3333,90,18,3,0:1.000;1:0.400;2:1.000;3:0.600;4:1.000;5:0.200;6:0.400;7:0.600;8:0.000;9:0.400;10:0.200;11:0.400;12:0.400;13:0.600;14:0.600;15:0.400;16:0.400;17:0.200
HYD-valve,base,0.1917,0.2500,120,24,4,0:0.200;1:0.200;2:0.600;3:0.400;4:0.400;5:0.400;6:0.200;7:0.200;8:0.200;9:0.200;10:0.200;11:0.400;12:0.000;13:0.000;14:0.200;15:0.200;16:0.000;17:0.200;18:0.000;19:0.000;20:0.000;21:0.000;22:0.200;23:0.200
HYD-valve,pool4,0.1667,0.2500,120,24,4,0:0.200;1:0.000;2:0.200;3:0.200;4:0.000;5:0.000;6:0.200;7:0.200;8:0.000;9:0.200;10:0.400;11:0.200;12:0.000;13:0.200;14:0.400;15:0.000;16:0.400;17:0.000;18:0.000;19:0.000;20:0.400;21:0.200;22:0.400;23:0.200
HYD-valve,pool16,0.2667,0.2500,120,24,4,0:0.400;1:0.000;2:0.000;3:0.000;4:0.400;5:0.000;6:0.200;7:0.400;8:0.200;9:0.400;10:0.400;11:0.000;12:0.400;13:0.200;14:0.400;15:0.400;16:0.600;17:0.400;18:0.000;19:0.200;20:0.200;21:0.400;22:0.400;23:0.400
HYD-valve,even_sub,0.1000,0.2500,120,24,4,0:0.200;1:0.200;2:0.200;3:0.000;4:0.200;5:0.200;6:0.000;7:0.000;8:0.000;9:0.000;10:0.200;11:0.000;12:0.000;13:0.200;14:0.000;15:0.200;16:0.200;17:0.200;18:0.000;19:0.000;20:0.000;21:0.200;22:0.200;23:0.000
HYD-valve,peak_sub,0.2083,0.2500,120,24,4,0:0.400;1:0.200;2:0.400;3:0.200;4:0.000;5:0.200;6:0.200;7:0.200;8:0.200;9:0.400;10:0.400;11:0.000;12:0.200;13:0.200;14:0.200;15:0.200;16:0.200;17:0.000;18:0.000;19:0.000;20:0.400;21:0.000;22:0.800;23:0.000
HYD-valve,level,0.1500,0.2500,120,24,4,0:0.400;1:0.000;2:0.400;3:0.400;4:0.400;5:0.200;6:0.000;7:0.200;8:0.400;9:0.200;10:0.000;11:0.200;12:0.000;13:0.000;14:0.000;15:0.200;16:0.000;17:0.200;18:0.200;19:0.000;20:0.000;21:0.000;22:0.000;23:0.200
HYD-valve,integ,0.2333,0.2500,120,24,4,0:0.200;1:0.400;2:0.400;3:0.200;4:0.200;5:0.400;6:0.200;7:0.400;8:0.200;9:0.400;10:0.200;11:0.400;12:0.200;13:0.000;14:0.000;15:0.200;16:0.600;17:0.000;18:0.200;19:0.000;20:0.200;21:0.400;22:0.000;23:0.200
HYD-accumulator,base,0.2750,0.2500,120,24,4,0:0.400;1:0.200;2:0.400;3:0.200;4:0.200;5:0.200;6:0.200;7:0.200;8:0.000;9:0.200;10:0.200;11:0.200;12:0.000;13:0.000;14:0.600;15:0.400;16:0.600;17:0.200;18:0.400;19:0.400;20:0.600;21:0.400;22:0.000;23:0.400
HYD-accumulator,pool4,0.3417,0.2500,120,24,4,0:0.200;1:0.000;2:0.600;3:0.400;4:0.000;5:0.600;6:0.200;7:0.200;8:0.200;9:0.400;10:0.200;11:0.200;12:0.200;13:0.200;14:0.400;15:0.200;16:0.200;17:0.600;18:0.400;19:1.000;20:0.600;21:0.600;22:0.200;23:0.400
HYD-accumulator,pool16,0.2833,0.2500,120,24,4,0:0.000;1:0.200;2:0.600;3:0.200;4:0.400;5:0.200;6:0.000;7:0.200;8:0.000;9:0.200;10:0.000;11:0.200;12:0.400;13:0.000;14:0.400;15:0.200;16:0.400;17:0.800;18:0.400;19:0.200;20:0.600;21:0.600;22:0.200;23:0.400
HYD-accumulator,even_sub,0.1750,0.2500,120,24,4,0:0.000;1:0.200;2:0.200;3:0.200;4:0.400;5:0.000;6:0.000;7:0.000;8:0.000;9:0.000;10:0.000;11:0.200;12:0.200;13:0.200;14:0.000;15:0.600;16:0.000;17:0.400;18:0.400;19:0.200;20:0.400;21:0.400;22:0.200;23:0.000
HYD-accumulator,peak_sub,0.2083,0.2500,120,24,4,0:0.200;1:0.400;2:0.400;3:0.400;4:0.200;5:0.200;6:0.000;7:0.200;8:0.200;9:0.200;10:0.200;11:0.000;12:0.400;13:0.000;14:0.200;15:0.400;16:0.200;17:0.400;18:0.000;19:0.200;20:0.000;21:0.200;22:0.200;23:0.200
HYD-accumulator,level,0.2500,0.2500,120,24,4,0:0.400;1:0.600;2:0.000;3:0.400;4:0.200;5:0.200;6:0.000;7:0.200;8:0.000;9:0.400;10:0.000;11:0.200;12:0.000;13:0.000;14:0.200;15:0.200;16:0.600;17:0.200;18:0.400;19:0.400;20:0.800;21:0.400;22:0.000;23:0.200
