bank,config,rec,acc,ms_per_win
mfpt,lean,2,1.0000,0.41
mfpt,lean,3,0.9091,0.41
mfpt,lean,4,0.7552,0.41
mfpt,lean,5,0.7867,0.41
mfpt,lean,6,0.4685,0.41
mfpt,lean,7,0.8112,0.41
mfpt,lean,8,0.7483,0.41
mfpt,lean,9,0.8462,0.41
mfpt,lean,10,0.8951,0.41
mfpt,lean,11,0.0734,0.41
mfpt,lean,12,0.6573,0.41
mfpt,lean,13,0.9231,0.41
mfpt,lean,14,0.9091,0.41
mfpt,lean,15,0.9021,0.41
mfpt,lean,16,0.9021,0.41
mfpt,lean,17,0.7273,0.41
mfpt,lean,18,0.7762,0.41
mfpt,lean,19,0.7378,0.41
mfpt,m5t5,0,0.7483,97.04
mfpt,m5t5,1,0.7273,97.04
mfpt,m5t5,2,0.9231,97.04
mfpt,m5t5,3,0.8462,97.04
mfpt,m5t5,4,0.3497,97.04
mfpt,m5t5,5,0.9126,97.04
mfpt,m5t5,6,0.8252,97.04
mfpt,m5t5,7,0.7972,97.04
mfpt,m5t5,8,0.7622,97.04
mfpt,m5t5,9,0.6783,97.04
mfpt,m5t5,10,0.7063,97.04
mfpt,m5t5,11,0.6643,97.04
mfpt,m5t5,12,0.9860,97.04
mfpt,m5t5,13,0.9441,97.04
mfpt,m5t5,14,0.9091,97.04
mfpt,m5t5,15,0.9510,97.04
mfpt,m5t5,16,0.9441,97.04
mfpt,m5t5,17,0.8671,97.04
mfpt,m5t5,18,0.9545,97.04
mfpt,m5t5,19,0.9371,97.04
mfpt,m3t5,0,0.6434,98.62
mfpt,m3t5,1,0.6713,98.62
mfpt,m3t5,2,0.9056,98.62
mfpt,m3t5,3,0.8112,98.62
mfpt,m3t5,4,0.2587,98.62
mfpt,m3t5,5,0.8986,98.62
mfpt,m3t5,6,0.8951,98.62
mfpt,m3t5,7,0.7762,98.62
mfpt,m3t5,8,0.7622,98.62
mfpt,m3t5,9,0.6503,98.62
mfpt,m3t5,10,0.6224,98.62
mfpt,m3t5,11,0.5944,98.62
mfpt,m3t5,12,0.9895,98.62
mfpt,m3t5,13,0.9161,98.62
mfpt,m3t5,14,0.8601,98.62
mfpt,m3t5,15,0.9441,98.62
mfpt,m3t5,16,0.9441,98.62
mfpt,m3t5,17,0.9091,98.62
mfpt,m3t5,18,0.9231,98.62
mfpt,m3t5,19,0.9266,98.62
mfpt,m5t10,0,0.7413,108.12
mfpt,m5t10,1,0.7762,108.12
mfpt,m5t10,2,0.9336,108.12
mfpt,m5t10,3,0.7972,108.12
mfpt,m5t10,4,0.4266,108.12
mfpt,m5t10,5,0.8566,108.12
mfpt,m5t10,6,0.8322,108.12
mfpt,m5t10,7,0.7902,108.12
mfpt,m5t10,8,0.7552,108.12
mfpt,m5t10,9,0.6923,108.12
mfpt,m5t10,10,0.6993,108.12
mfpt,m5t10,11,0.6434,108.12
mfpt,m5t10,12,0.9860,108.12
mfpt,m5t10,13,0.9091,108.12
mfpt,m5t10,14,0.9441,108.12
mfpt,m5t10,15,0.9161,108.12
mfpt,m5t10,16,0.9231,108.12
mfpt,m5t10,17,0.9091,108.12
mfpt,m5t10,18,0.9545,108.12
mfpt,m5t10,19,0.9476,108.12
mfpt,m3t10,0,0.6853,112.50
mfpt,m3t10,1,0.6853,112.50
mfpt,m3t10,2,0.8741,112.50
mfpt,m3t10,3,0.8112,112.50
mfpt,m3t10,4,0.3287,112.50
mfpt,m3t10,5,0.8357,112.50
mfpt,m3t10,6,0.8392,112.50
mfpt,m3t10,7,0.7483,112.50
mfpt,m3t10,8,0.7413,112.50
mfpt,m3t10,9,0.6853,112.50
mfpt,m3t10,10,0.6643,112.50
mfpt,m3t10,11,0.6364,112.50
mfpt,m3t10,12,0.9965,112.50
mfpt,m3t10,13,0.8881,112.50
mfpt,m3t10,14,0.9371,112.50
mfpt,m3t10,15,0.9441,112.50
mfpt,m3t10,16,0.9510,112.50
mfpt,m3t10,17,0.8182,112.50
mfpt,m3t10,18,0.9336,112.50
mfpt,m3t10,19,0.9441,112.50
calce,lean,0,0.0000,0.39
calce,lean,1,1.0000,0.39
calce,lean,2,0.6410,0.39
calce,lean,3,0.0000,0.39
calce,lean,4,0.8250,0.39
calce,lean,5,0.7500,0.39
calce,lean,6,0.0000,0.39
calce,lean,7,0.2500,0.39
calce,lean,8,0.7241,0.39
calce,lean,9,1.0000,0.39
calce,lean,10,0.8000,0.39
calce,lean,11,0.9259,0.39
calce,lean,12,1.0000,0.39
calce,lean,13,0.3333,0.39
calce,lean,14,0.7778,0.39
calce,lean,15,0.0000,0.39
calce,lean,16,0.5000,0.39
calce,lean,17,0.8929,0.39
hydcooler,lean,0,1.0000,0.38
hydcooler,lean,1,0.6000,0.38
hydcooler,lean,2,0.6000,0.38
hydcooler,lean,3,1.0000,0.38
hydcooler,lean,4,0.8000,0.38
hydcooler,lean,5,0.0000,0.38
hydcooler,lean,6,0.6000,0.38
hydcooler,lean,7,0.0000,0.38
hydcooler,lean,8,0.4000,0.38
hydcooler,lean,9,0.2000,0.38
hydcooler,lean,10,0.6000,0.38
hydcooler,lean,11,0.6000,0.38
hydcooler,lean,12,0.2000,0.38
hydcooler,lean,13,1.0000,0.38
hydcooler,lean,14,0.8000,0.38
hydcooler,lean,15,0.2000,0.38
hydcooler,lean,16,0.6000,0.38
hydcooler,lean,17,0.4000,0.38
calce,m3t5,0,1.0000,74.02
calce,m3t5,1,0.7692,74.02
calce,m3t5,2,0.3077,74.02
calce,m3t5,3,1.0000,74.02
calce,m3t5,4,0.4000,74.02
calce,m3t5,5,0.1250,74.02
calce,m3t5,6,1.0000,74.02
calce,m3t5,7,0.7812,74.02
calce,m3t5,8,0.8276,74.02
calce,m3t5,9,1.0000,74.02
calce,m3t5,10,1.0000,74.02
calce,m3t5,11,1.0000,74.02
calce,m3t5,12,1.0000,74.02
calce,m3t5,13,0.5556,74.02
calce,m3t5,14,1.0000,74.02
calce,m3t5,15,1.0000,74.02
calce,m3t5,16,0.6111,74.02
calce,m3t5,17,0.9643,74.02
calce,m3t10,0,1.0000,72.06
calce,m3t10,1,0.7692,72.06
calce,m3t10,2,0.2051,72.06
calce,m3t10,3,1.0000,72.06
calce,m3t10,4,0.3000,72.06
calce,m3t10,5,0.2917,72.06
calce,m3t10,6,1.0000,72.06
calce,m3t10,7,0.8750,72.06
calce,m3t10,8,0.8966,72.06
calce,m3t10,9,1.0000,72.06
calce,m3t10,10,1.0000,72.06
calce,m3t10,11,1.0000,72.06
calce,m3t10,12,1.0000,72.06
calce,m3t10,13,0.8889,72.06
calce,m3t10,14,1.0000,72.06
calce,m3t10,15,1.0000,72.06
calce,m3t10,16,1.0000,72.06
calce,m3t10,17,1.0000,72.06
calce,m5t5,0,1.0000,72.72
calce,m5t5,1,0.9231,72.72
calce,m5t5,2,0.2308,72.72
calce,m5t5,3,1.0000,72.72
calce,m5t5,4,0.4250,72.72
calce,m5t5,5,0.0417,72.72
calce,m5t5,6,1.0000,72.72
calce,m5t5,7,0.8125,72.72
calce,m5t5,8,0.8966,72.72
calce,m5t5,9,1.0000,72.72
calce,m5t5,10,1.0000,72.72
calce,m5t5,11,1.0000,72.72
calce,m5t5,12,1.0000,72.72
calce,m5t5,13,0.8333,72.72
calce,m5t5,14,1.0000,72.72
calce,m5t5,15,1.0000,72.72
calce,m5t5,16,1.0000,72.72
calce,m5t5,17,1.0000,72.72
calce,m5t10,0,1.0000,70.17
calce,m5t10,1,1.0000,70.17
calce,m5t10,2,0.2564,70.17
calce,m5t10,3,1.0000,70.17
calce,m5t10,4,0.7000,70.17
calce,m5t10,5,0.2917,70.17
calce,m5t10,6,1.0000,70.17
calce,m5t10,7,0.7812,70.17
calce,m5t10,8,0.9310,70.17
calce,m5t10,9,1.0000,70.17
calce,m5t10,10,0.8000,70.17
calce,m5t10,11,1.0000,70.17
calce,m5t10,12,1.0000,70.17
calce,m5t10,13,0.8889,70.17
calce,m5t10,14,1.0000,70.17
calce,m5t10,15,1.0000,70.17
calce,m5t10,16,0.8333,70.17
calce,m5t10,17,1.0000,70.17
hydcooler,m3t5,0,0.8000,75.10
hydcooler,m3t5,1,0.0000,75.10
hydcooler,m3t5,2,1.0000,75.10
hydcooler,m3t5,3,0.8000,75.10
hydcooler,m3t5,4,1.0000,75.10
hydcooler,m3t5,5,0.2000,75.10
hydcooler,m3t5,6,0.4000,75.10
hydcooler,m3t5,7,0.4000,75.10
hydcooler,m3t5,8,0.8000,75.10
hydcooler,m3t5,9,0.4000,75.10
hydcooler,m3t5,10,0.8000,75.10
hydcooler,m3t5,11,0.8000,75.10
hydcooler,m3t5,12,0.6000,75.10
hydcooler,m3t5,13,0.8000,75.10
hydcooler,m3t5,14,0.8000,75.10
hydcooler,m3t5,15,0.8000,75.10
hydcooler,m3t5,16,0.4000,75.10
hydcooler,m3t5,17,1.0000,75.10
hydcooler,m3t10,0,0.6000,72.69
hydcooler,m3t10,1,0.2000,72.69
hydcooler,m3t10,2,0.8000,72.69
hydcooler,m3t10,3,1.0000,72.69
hydcooler,m3t10,4,1.0000,72.69
hydcooler,m3t10,5,0.0000,72.69
hydcooler,m3t10,6,0.4000,72.69
hydcooler,m3t10,7,0.6000,72.69
hydcooler,m3t10,8,0.6000,72.69
hydcooler,m3t10,9,0.8000,72.69
hydcooler,m3t10,10,0.8000,72.69
hydcooler,m3t10,11,1.0000,72.69
hydcooler,m3t10,12,0.8000,72.69
hydcooler,m3t10,13,0.8000,72.69
hydcooler,m3t10,14,0.8000,72.69
hydcooler,m3t10,15,0.4000,72.69
hydcooler,m3t10,16,1.0000,72.69
hydcooler,m3t10,17,0.8000,72.69
